 0.000,0.845,1.018
 0.010,0.866,1.027
 0.020,0.888,1.035
 0.030,0.899,1.044
 0.040,0.899,1.053
 0.050,0.894,1.062
 0.060,0.867,1.071
 0.070,0.856,1.080
 0.080,0.861,1.088
 0.090,0.856,1.097
 0.100,0.839,1.105
 0.110,0.828,1.113
 0.120,0.822,1.122
 0.130,0.817,1.130
 0.140,0.811,1.138
 0.150,0.811,1.146
 0.160,0.817,1.154
 0.170,0.828,1.162
 0.180,0.834,1.171
 0.190,0.856,1.179
 0.200,0.830,1.188
 0.210,0.800,1.196
 0.220,0.794,1.204
 0.230,0.789,1.212
 0.240,0.769,1.219
 0.250,0.749,1.227
 0.260,0.739,1.234
 0.270,0.713,1.241
 0.280,0.693,1.248
 0.290,0.678,1.255
 0.300,0.657,1.262
 0.310,0.647,1.268
 0.320,0.642,1.274
 0.330,0.652,1.281
 0.340,0.657,1.287
 0.350,0.662,1.294
 0.360,0.662,1.301
 0.370,0.667,1.307
 0.380,0.672,1.314
 0.390,0.667,1.321
 0.400,0.662,1.327
 0.410,0.647,1.334
 0.420,0.616,1.340
 0.430,0.596,1.346
 0.440,0.565,1.352
 0.450,0.554,1.357
 0.460,0.534,1.363
 0.470,0.529,1.368
 0.480,0.529,1.373
 0.490,0.529,1.378
 0.500,0.534,1.384
 0.510,0.544,1.389
 0.520,0.549,1.395
 0.530,0.549,1.400
 0.540,0.549,1.406
 0.550,0.554,1.411
 0.560,0.560,1.417
 0.570,0.560,1.422
 0.580,0.560,1.428
 0.590,0.549,1.433
 0.600,0.549,1.439
 0.610,0.554,1.445
 0.620,0.539,1.450
 0.630,0.529,1.455
 0.640,0.524,1.460
 0.650,0.518,1.466
 0.660,0.508,1.471
 0.670,0.498,1.476
 0.680,0.488,1.481
 0.690,0.477,1.485
 0.700,0.472,1.490
 0.710,0.467,1.495
 0.720,0.467,1.499
 0.730,0.462,1.504
 0.740,0.456,1.509
 0.750,0.462,1.513
 0.760,0.467,1.518
 0.770,0.467,1.523
 0.780,0.467,1.527
 0.790,0.467,1.532
 0.800,0.467,1.537
 0.810,0.456,1.541
 0.820,0.456,1.546
 0.830,0.451,1.550
 0.840,0.446,1.555
 0.850,0.441,1.559
 0.860,0.436,1.563
 0.870,0.426,1.568
 0.880,0.415,1.572
 0.890,0.410,1.576
 0.900,0.394,1.580
 0.910,0.384,1.584
 0.920,0.384,1.588
 0.930,0.378,1.591
 0.940,0.368,1.595
 0.950,0.352,1.598
 0.960,0.342,1.602
 0.970,0.330,1.605
 0.980,0.330,1.609
 0.990,0.336,1.612
 1.000,0.352,1.615
 1.010,0.368,1.619
 1.020,0.378,1.623
 1.030,0.384,1.627
 1.040,0.389,1.631
 1.050,0.384,1.634
 1.060,0.368,1.638
 1.070,0.363,1.642
 1.080,0.347,1.645
 1.090,0.336,1.649
 1.100,0.320,1.652
 1.110,0.309,1.655
 1.120,0.304,1.658
 1.130,0.299,1.661
 1.140,0.299,1.664
 1.150,0.299,1.667
 1.160,0.304,1.670
 1.170,0.304,1.673
 1.180,0.304,1.676
 1.190,0.304,1.679
 1.200,0.304,1.682
 1.210,0.304,1.685
 1.220,0.304,1.688
 1.230,0.304,1.691
 1.240,0.299,1.694
 1.250,0.294,1.697
 1.260,0.299,1.700
 1.270,0.299,1.703
 1.280,0.294,1.706
 1.290,0.299,1.709
 1.300,0.294,1.712
 1.310,0.294,1.715
 1.320,0.294,1.718
 1.330,0.288,1.721
 1.340,0.283,1.724
 1.350,0.262,1.726
 1.360,0.257,1.729
 1.370,0.241,1.731
 1.380,0.231,1.733
 1.390,0.231,1.736
 1.400,0.236,1.738
 1.410,0.241,1.741
 1.420,0.246,1.743
 1.430,0.257,1.746
 1.440,0.262,1.748
 1.450,0.262,1.751
 1.460,0.262,1.753
 1.470,0.267,1.756
 1.480,0.262,1.759
 1.490,0.256,1.761
 1.500,0.251,1.764
 1.510,0.251,1.766
 1.520,0.246,1.769
 1.530,0.241,1.771
 1.540,0.231,1.773
 1.550,0.220,1.776
 1.560,0.210,1.778
 1.570,0.200,1.780
 1.580,0.190,1.782
 1.590,0.190,1.784
 1.600,0.180,1.785
 1.610,0.170,1.787
 1.620,0.161,1.789
 1.630,0.156,1.790
 1.640,0.156,1.792
 1.650,0.166,1.793
 1.660,0.180,1.795
 1.670,0.190,1.797
 1.680,0.205,1.799
 1.690,0.210,1.801
 1.700,0.220,1.804
 1.710,0.220,1.806
 1.720,0.220,1.808
 1.730,0.210,1.810
 1.740,0.200,1.812
 1.750,0.180,1.814
 1.760,0.170,1.816
 1.770,0.170,1.817
 1.780,0.161,1.819
 1.790,0.161,1.820
 1.800,0.161,1.822
 1.810,0.161,1.824
 1.820,0.166,1.825
 1.830,0.170,1.827
 1.840,0.170,1.829
 1.850,0.156,1.830
 1.860,0.141,1.832
 1.870,0.132,1.833
 1.880,0.122,1.834
 1.890,0.103,1.835
 1.900,0.094,1.836
 1.910,0.079,1.837
 1.920,0.055,1.838
 1.930,0.040,1.838
 1.940,0.010,1.838
 1.950,-0.022,1.838
 1.960,-0.057,1.837
 1.970,-0.100,1.836
 1.980,-0.143,1.835
 1.990,-0.199,1.833
 2.000,-0.256,1.830
 2.010,-0.320,1.827
 2.020,-0.383,1.823
 2.030,-0.435,1.819
 2.040,-0.479,1.814
 2.050,-0.530,1.809
 2.060,-0.563,1.803
 2.070,-0.597,1.797
 2.080,-0.620,1.791
 2.090,-0.648,1.785
 2.100,-0.659,1.778
 2.110,-0.687,1.771
 2.120,-0.704,1.764
 2.130,-0.715,1.757
 2.140,-0.737,1.750
 2.150,-0.754,1.742
 2.160,-0.765,1.734
 2.170,-0.776,1.727
 2.180,-0.781,1.719
 2.190,-0.793,1.711
 2.200,-0.803,1.703
 2.210,-0.820,1.695
 2.220,-0.836,1.686
 2.230,-0.863,1.678
 2.240,-0.880,1.669
 2.250,-0.890,1.660
 2.260,-0.918,1.651
 2.270,-0.929,1.641
 2.280,-0.940,1.632
 2.290,-0.962,1.622
 2.300,-0.968,1.613
 2.310,-0.968,1.603
 2.320,-0.968,1.593
 2.330,-0.962,1.584
 2.340,-0.946,1.574
 2.350,-0.929,1.565
 2.360,-0.918,1.556
 2.370,-0.912,1.547
 2.380,-0.896,1.538
 2.390,-0.890,1.529
 2.400,-0.902,1.520
 2.410,-0.912,1.511
 2.420,-0.912,1.502
 2.430,-0.918,1.492
 2.440,-0.929,1.483
 2.450,-0.934,1.474
 2.460,-0.946,1.464
 2.470,-0.974,1.455
 2.480,-0.980,1.445
 2.490,-0.980,1.435
 2.500,-0.985,1.425
 2.510,-0.997,1.415
 2.520,-1.008,1.405
 2.530,-1.014,1.395
 2.540,-1.014,1.385
 2.550,-1.014,1.375
 2.560,-0.997,1.365
 2.570,-0.980,1.355
 2.580,-0.968,1.345
 2.590,-0.962,1.336
 2.600,-0.951,1.326
 2.610,-0.940,1.317
 2.620,-0.934,1.307
 2.630,-0.940,1.298
 2.640,-0.946,1.288
 2.650,-0.957,1.279
 2.660,-0.962,1.269
 2.670,-0.968,1.260
 2.680,-0.968,1.250
 2.690,-0.974,1.240
 2.700,-0.980,1.230
 2.710,-0.980,1.221
 2.720,-0.974,1.211
 2.730,-0.980,1.201
 2.740,-0.980,1.191
 2.750,-0.980,1.181
 2.760,-0.980,1.172
 2.770,-0.974,1.162
 2.780,-0.957,1.152
 2.790,-0.951,1.143
 2.800,-0.940,1.133
 2.810,-0.934,1.124
 2.820,-0.934,1.115
 2.830,-0.923,1.106
 2.840,-0.923,1.096
 2.850,-0.923,1.087
 2.860,-0.923,1.078
 2.870,-0.929,1.069
 2.880,-0.940,1.059
 2.890,-0.940,1.050
 2.900,-0.946,1.040
 2.910,-0.946,1.031
 2.920,-0.957,1.021
 2.930,-0.957,1.012
 2.940,-0.951,1.002
 2.950,-0.929,0.993
 2.960,-0.923,0.984
 2.970,-0.912,0.975
 2.980,-0.896,0.966
 2.990,-0.890,0.957
 3.000,-0.863,0.948
 3.010,-0.836,0.940
 3.020,-0.798,0.932
 3.030,-0.771,0.924
 3.040,-0.737,0.917
 3.050,-0.715,0.909
 3.060,-0.698,0.903
 3.070,-0.698,0.896
 3.080,-0.710,0.888
 3.090,-0.726,0.881
 3.100,-0.754,0.874
 3.110,-0.776,0.866
 3.120,-0.787,0.858
 3.130,-0.798,0.850
 3.140,-0.798,0.842
 3.150,-0.787,0.834
 3.160,-0.771,0.826
 3.170,-0.748,0.819
 3.180,-0.721,0.812
 3.190,-0.698,0.805
 3.200,-0.676,0.798
 3.210,-0.676,0.791
 3.220,-0.670,0.785
 3.230,-0.659,0.778
 3.240,-0.642,0.772
 3.250,-0.620,0.765
 3.260,-0.603,0.759
 3.270,-0.586,0.753
 3.280,-0.569,0.748
 3.290,-0.541,0.742
 3.300,-0.530,0.737
 3.310,-0.507,0.732
 3.320,-0.496,0.727
 3.330,-0.496,0.722
 3.340,-0.507,0.717
 3.350,-0.524,0.712
